,pass_inc,pass_td_lng,fum,rush_yd,pass_td,rush_rz_att,pass_yd,pass_fd,pass_cmp_40p,cmp_pct,pass_cmp,off_snp,pass_sack,gs,pass_td_50p,bonus_pass_yd_300,pass_rz_att,rush_att,pass_att,rush_fd,bonus_pass_cmp_25,pass_rtg,pass_td_40p,pass_lng,rush_td,pass_sack_yds,penalty,bonus_pass_yd_400,gp,pass_air_yd,pass_int,rush_lng,calculated_fpts,fum_lost,pass_2pt,bonus_fd_qb,pass_rush_yd
104,43.0,91.0,0.0,39.0,3.0,0.0,731.0,27.0,2.0,363.84,63.0,260.0,7.0,5.0,1.0,1.0,2.0,6.0,106.0,3.0,0.0,467.3,1.0,177.0,0.0,46.0,0.0,0.0,6.0,323.0,3.0,33.0,43.58999934643507,0.0,0.0,30.0,770.0
105,191.0,347.0,6.0,277.0,16.0,5.0,3524.0,126.0,11.0,911.26,292.0,896.0,55.0,15.0,3.0,1.0,45.0,55.0,483.0,18.0,2.0,1294.5,3.0,682.0,3.0,368.0,2.0,0.0,15.0,1807.0,11.0,165.0,244.24333018610878,2.0,0.0,144.0,3801.0
106,56.0,146.0,0.0,13.0,13.0,7.0,1374.0,53.0,3.0,459.63,114.0,329.0,11.0,5.0,1.0,0.0,17.0,22.0,170.0,4.0,1.0,721.2,1.0,249.0,1.0,84.0,0.0,0.0,9.0,663.0,4.0,28.0,158.82666543821495,0.0,0.0,57.0,1387.0
107,15.0,7.0,0.0,90.0,1.0,2.0,161.0,9.0,0.0,206.52,19.0,90.0,6.0,1.0,0.0,0.0,5.0,19.0,34.0,6.0,0.0,195.2,0.0,33.0,0.0,50.0,0.0,0.0,5.0,96.0,2.0,47.0,16.439999856054783,0.0,0.0,15.0,251.0
108,11.0,11.0,0.0,7.0,1.0,0.0,139.0,8.0,0.0,117.9,14.0,6.0,1.0,1.0,0.0,0.0,1.0,2.0,25.0,0.0,0.0,165.8,0.0,42.0,0.0,6.0,0.0,0.0,3.0,103.0,1.0,6.0,8.026666542390982,0.0,0.0,8.0,146.0
109,42.0,20.0,3.0,16.0,4.0,0.0,858.0,31.0,4.0,191.13,73.0,196.0,11.0,3.0,0.0,1.0,14.0,5.0,115.0,0.0,2.0,243.4,0.0,140.0,0.0,74.0,1.0,0.0,3.0,651.0,5.0,8.0,49.386665899554885,0.0,1.0,31.0,874.0
110,16.0,0.0,1.0,67.0,0.0,4.0,194.0,6.0,1.0,113.1,15.0,84.0,2.0,2.0,0.0,0.0,1.0,16.0,31.0,7.0,0.0,149.6,0.0,69.0,0.0,9.0,0.0,0.0,2.0,114.0,1.0,20.0,13.476666493217152,0.0,0.0,13.0,261.0
111,205.0,231.0,7.0,73.0,29.0,4.0,4438.0,198.0,12.0,1110.69,382.0,1071.0,23.0,17.0,1.0,5.0,91.0,29.0,587.0,5.0,6.0,1674.1,3.0,700.0,0.0,156.0,0.0,0.0,17.0,2148.0,7.0,68.0,402.4699960495035,4.0,1.0,203.0,4511.0
112,35.0,10.0,4.0,7.0,2.0,0.0,483.0,22.0,1.0,232.94,53.0,175.0,8.0,2.0,0.0,0.0,5.0,6.0,88.0,2.0,0.0,235.8,0.0,90.0,0.0,47.0,0.0,0.0,4.0,216.0,4.0,5.0,13.036666234831017,1.0,0.0,24.0,490.0
113,28.0,28.0,4.0,44.0,2.0,0.0,411.0,23.0,0.0,120.25,40.0,139.0,6.0,2.0,0.0,0.0,4.0,8.0,68.0,4.0,0.0,149.9,0.0,60.0,0.0,26.0,0.0,0.0,2.0,200.0,2.0,18.0,17.3733329658707,2.0,0.0,27.0,455.0
114,192.0,506.0,6.0,259.0,36.0,21.0,4527.0,186.0,10.0,1194.4,418.0,1025.0,41.0,16.0,4.0,4.0,92.0,76.0,610.0,23.0,8.0,1785.2,7.0,649.0,5.0,259.0,1.0,1.0,17.0,2357.0,12.0,158.0,529.8466626192132,3.0,3.0,209.0,4786.0
115,197.0,360.0,4.0,102.0,24.0,3.0,3522.0,137.0,8.0,910.6,305.0,946.0,27.0,15.0,1.0,2.0,57.0,24.0,502.0,10.0,3.0,1267.2,4.0,552.0,0.0,191.0,1.0,0.0,15.0,2015.0,14.0,62.0,272.4299968510866,0.0,0.0,147.0,3624.0
116,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,-1.0,-0.016666666666666607,0.0,0.0,0.0,-4.0
117,42.0,6.0,2.0,36.0,1.0,2.0,780.0,33.0,1.0,270.27,90.0,229.0,13.0,3.0,0.0,0.0,12.0,14.0,132.0,5.0,2.0,294.7,0.0,112.0,0.0,97.0,1.0,0.0,4.0,402.0,3.0,17.0,50.59999930262566,0.0,0.0,38.0,816.0
118,0.0,0.0,0.0,-1.0,0.0,0.0,22.0,1.0,0.0,100.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,97.2,0.0,13.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,3.813333313663801,0.0,0.0,2.0,21.0
